EmployeeId	FirstName	LastName	Title	BirthDate	HireDate	Street	City	State	Country	PostalCode	Phone	Fax	Email	ReportsToId	ReportsToLastName	CustomerId	CustomerLastName
1	Andrew	Adams	General Manager	1962-02-18 00:00:00	2002-08-14 00:00:00	11120 Jasper Ave NW	Edmonton	AB	Canada	T5K 2N1	+1 (780) 428-9482	+1 (780) 428-3457	andrew@chinookcorp.com	1	NULL	NULL	NULL
2	Nancy	Edwards	Sales Manager	1958-12-08 00:00:00	2002-05-01 00:00:00	825 8 Ave SW	Calgary	AB	Canada	T2P 2T3	+1 (403) 262-3443	+1 (403) 262-3322	nancy@chinookcorp.com	2	Adams	NULL	NULL
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	1	Gonçalves
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	3	Tremblay
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	12	Almeida
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	15	Peterson
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	18	Brooks
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	19	Goyer
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	24	Ralston
3	Jane	Peacock	Sales Support Agent	1973-08-29 00:00:00	2002-04-01 00:00:00	1111 6 Ave SW	Calgary	AB	Canada	T2P 5M5	+1 (403) 262-3443	+1 (403) 262-6712	jane@chinookcorp.com	3	Edwards	29	Brown
