InvoiceId	InvoiceDate	Street	City	State	Country	PostalCode	Total	CustomerId	CustomerLastName	TrackId	TrackName	UnitPrice	Quantity
1	2009-01-01 00:00:00	Theodor-Heuss-Straße 34	Stuttgart	NULL	Germany	70174	1.98	2	Köhler	2	Balls to the Wall	0.99	1
1	2009-01-01 00:00:00	Theodor-Heuss-Straße 34	Stuttgart	NULL	Germany	70174	1.98	2	Köhler	4	Restless and Wild	0.99	1
2	2009-01-02 00:00:00	Ullevålsveien 14	Oslo	NULL	Norway	0171	3.96	4	Hansen	6	Put The Finger On You	0.99	1
2	2009-01-02 00:00:00	Ullevålsveien 14	Oslo	NULL	Norway	0171	3.96	4	Hansen	8	Inject The Venom	0.99	1
2	2009-01-02 00:00:00	Ullevålsveien 14	Oslo	NULL	Norway	0171	3.96	4	Hansen	10	Evil Walks	0.99	1
2	2009-01-02 00:00:00	Ullevålsveien 14	Oslo	NULL	Norway	0171	3.96	4	Hansen	12	Breaking The Rules	0.99	1
3	2009-01-03 00:00:00	Grétrystraat 63	Brussels	NULL	Belgium	1000	5.94	8	Peeters	16	Dog Eat Dog	0.99	1
3	2009-01-03 00:00:00	Grétrystraat 63	Brussels	NULL	Belgium	1000	5.94	8	Peeters	20	Overdose	0.99	1
3	2009-01-03 00:00:00	Grétrystraat 63	Brussels	NULL	Belgium	1000	5.94	8	Peeters	24	Love In An Elevator	0.99	1
3	2009-01-03 00:00:00	Grétrystraat 63	Brussels	NULL	Belgium	1000	5.94	8	Peeters	28	Janie's Got A Gun	0.99	1
3	2009-01-03 00:00:00	Grétrystraat 63	Brussels	NULL	Belgium	1000	5.94	8	Peeters	32	Deuces Are Wild	0.99	1
3	2009-01-03 00:00:00	Grétrystraat 63	Brussels	NULL	Belgium	1000	5.94	8	Peeters	36	Angel	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	42	Right Through You	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	48	Not The Doctor	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	54	Bleed The Freak	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	60	Confusion	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	66	Por Causa De Você	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	72	Angela	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	78	Master Of Puppets	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	84	Welcome Home (Sanitarium)	0.99	1
4	2009-01-06 00:00:00	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7	8.91	14	Philips	90	Set It Off	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	99	Your Time Has Come	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	108	Dandelion	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	117	Rock 'N' Roll Music	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	126	Moon germs	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	135	Super Terrorizer	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	144	Heart Of Gold	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	153	Evil Woman	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	162	Cornucopia	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	171	Bowels Of The Devil	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	180	Body Count Anthem	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	189	Jerusalem	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	198	When My Left Eye Jumps	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	207	Meditação	0.99	1
5	2009-01-11 00:00:00	69 Salem Street	Boston	MA	USA	2113	13.86	23	Gordon	216	Esse Cara	0.99	1
6	2009-01-19 00:00:00	Berger Straße 10	Frankfurt	NULL	Germany	60316	0.99	37	Zimmermann	230	Bye, Bye Brasil	0.99	1
7	2009-02-01 00:00:00	Barbarossastraße 19	Berlin	NULL	Germany	10779	1.98	38	Schröder	231	Atras Da Porta	0.99	1
7	2009-02-01 00:00:00	Barbarossastraße 19	Berlin	NULL	Germany	10779	1.98	38	Schröder	232	Tatuagem	0.99	1
8	2009-02-01 00:00:00	8, Rue Hanovre	Paris	NULL	France	75002	1.98	40	Lefebvre	234	Morena De Angola	0.99	1
