customerId,firstName,lastName,company,address,contact,email,supportRepId,supportRepLastName,invoiceId
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"{state: 'SP',postalCode: '12227-000',street: 'Av. Brigadeiro Faria Lima, 2170',city: 'São José dos Campos',country: 'Brazil'}","{'phone': '+55 (12) 3923-5555','fax' : '+55 (12) 3923-5566'}",luisg@embraer.com.br,3,Peacock,98
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"{state: 'SP',postalCode: '12227-000',street: 'Av. Brigadeiro Faria Lima, 2170',city: 'São José dos Campos',country: 'Brazil'}","{'phone': '+55 (12) 3923-5555','fax' : '+55 (12) 3923-5566'}",luisg@embraer.com.br,3,Peacock,121
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"{state: 'SP',postalCode: '12227-000',street: 'Av. Brigadeiro Faria Lima, 2170',city: 'São José dos Campos',country: 'Brazil'}","{'phone': '+55 (12) 3923-5555','fax' : '+55 (12) 3923-5566'}",luisg@embraer.com.br,3,Peacock,143
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"{state: 'SP',postalCode: '12227-000',street: 'Av. Brigadeiro Faria Lima, 2170',city: 'São José dos Campos',country: 'Brazil'}","{'phone': '+55 (12) 3923-5555','fax' : '+55 (12) 3923-5566'}",luisg@embraer.com.br,3,Peacock,195
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"{state: 'SP',postalCode: '12227-000',street: 'Av. Brigadeiro Faria Lima, 2170',city: 'São José dos Campos',country: 'Brazil'}","{'phone': '+55 (12) 3923-5555','fax' : '+55 (12) 3923-5566'}",luisg@embraer.com.br,3,Peacock,316
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"{state: 'SP',postalCode: '12227-000',street: 'Av. Brigadeiro Faria Lima, 2170',city: 'São José dos Campos',country: 'Brazil'}","{'phone': '+55 (12) 3923-5555','fax' : '+55 (12) 3923-5566'}",luisg@embraer.com.br,3,Peacock,327
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"{state: 'SP',postalCode: '12227-000',street: 'Av. Brigadeiro Faria Lima, 2170',city: 'São José dos Campos',country: 'Brazil'}","{'phone': '+55 (12) 3923-5555','fax' : '+55 (12) 3923-5566'}",luisg@embraer.com.br,3,Peacock,382
2,Leonie,Köhler,,"{postalCode: '70174',street: 'Theodor-Heuss-Straße 34',city: 'Stuttgart',country: 'Germany'}",{'phone': '+49 0711 2842222'},leonekohler@surfeu.de,5,Johnson,1
2,Leonie,Köhler,,"{postalCode: '70174',street: 'Theodor-Heuss-Straße 34',city: 'Stuttgart',country: 'Germany'}",{'phone': '+49 0711 2842222'},leonekohler@surfeu.de,5,Johnson,12
2,Leonie,Köhler,,"{postalCode: '70174',street: 'Theodor-Heuss-Straße 34',city: 'Stuttgart',country: 'Germany'}",{'phone': '+49 0711 2842222'},leonekohler@surfeu.de,5,Johnson,67
2,Leonie,Köhler,,"{postalCode: '70174',street: 'Theodor-Heuss-Straße 34',city: 'Stuttgart',country: 'Germany'}",{'phone': '+49 0711 2842222'},leonekohler@surfeu.de,5,Johnson,196
2,Leonie,Köhler,,"{postalCode: '70174',street: 'Theodor-Heuss-Straße 34',city: 'Stuttgart',country: 'Germany'}",{'phone': '+49 0711 2842222'},leonekohler@surfeu.de,5,Johnson,219
2,Leonie,Köhler,,"{postalCode: '70174',street: 'Theodor-Heuss-Straße 34',city: 'Stuttgart',country: 'Germany'}",{'phone': '+49 0711 2842222'},leonekohler@surfeu.de,5,Johnson,241
2,Leonie,Köhler,,"{postalCode: '70174',street: 'Theodor-Heuss-Straße 34',city: 'Stuttgart',country: 'Germany'}",{'phone': '+49 0711 2842222'},leonekohler@surfeu.de,5,Johnson,293
3,François,Tremblay,,"{state: 'QC',postalCode: 'H2G 1A7',street: '1498 rue Bélanger',city: 'Montréal',country: 'Canada'}",{'phone': '+1 (514) 721-4711'},ftremblay@gmail.com,3,Peacock,99
3,François,Tremblay,,"{state: 'QC',postalCode: 'H2G 1A7',street: '1498 rue Bélanger',city: 'Montréal',country: 'Canada'}",{'phone': '+1 (514) 721-4711'},ftremblay@gmail.com,3,Peacock,110
3,François,Tremblay,,"{state: 'QC',postalCode: 'H2G 1A7',street: '1498 rue Bélanger',city: 'Montréal',country: 'Canada'}",{'phone': '+1 (514) 721-4711'},ftremblay@gmail.com,3,Peacock,165
3,François,Tremblay,,"{state: 'QC',postalCode: 'H2G 1A7',street: '1498 rue Bélanger',city: 'Montréal',country: 'Canada'}",{'phone': '+1 (514) 721-4711'},ftremblay@gmail.com,3,Peacock,294
3,François,Tremblay,,"{state: 'QC',postalCode: 'H2G 1A7',street: '1498 rue Bélanger',city: 'Montréal',country: 'Canada'}",{'phone': '+1 (514) 721-4711'},ftremblay@gmail.com,3,Peacock,317
3,François,Tremblay,,"{state: 'QC',postalCode: 'H2G 1A7',street: '1498 rue Bélanger',city: 'Montréal',country: 'Canada'}",{'phone': '+1 (514) 721-4711'},ftremblay@gmail.com,3,Peacock,339
3,François,Tremblay,,"{state: 'QC',postalCode: 'H2G 1A7',street: '1498 rue Bélanger',city: 'Montréal',country: 'Canada'}",{'phone': '+1 (514) 721-4711'},ftremblay@gmail.com,3,Peacock,391
4,Bjørn,Hansen,,"{postalCode: '0171',street: 'Ullevålsveien 14',city: 'Oslo',country: 'Norway'}",{'phone': '+47 22 44 22 22'},bjorn.hansen@yahoo.no,4,Park,2
4,Bjørn,Hansen,,"{postalCode: '0171',street: 'Ullevålsveien 14',city: 'Oslo',country: 'Norway'}",{'phone': '+47 22 44 22 22'},bjorn.hansen@yahoo.no,4,Park,24
4,Bjørn,Hansen,,"{postalCode: '0171',street: 'Ullevålsveien 14',city: 'Oslo',country: 'Norway'}",{'phone': '+47 22 44 22 22'},bjorn.hansen@yahoo.no,4,Park,76
4,Bjørn,Hansen,,"{postalCode: '0171',street: 'Ullevålsveien 14',city: 'Oslo',country: 'Norway'}",{'phone': '+47 22 44 22 22'},bjorn.hansen@yahoo.no,4,Park,197
4,Bjørn,Hansen,,"{postalCode: '0171',street: 'Ullevålsveien 14',city: 'Oslo',country: 'Norway'}",{'phone': '+47 22 44 22 22'},bjorn.hansen@yahoo.no,4,Park,208
4,Bjørn,Hansen,,"{postalCode: '0171',street: 'Ullevålsveien 14',city: 'Oslo',country: 'Norway'}",{'phone': '+47 22 44 22 22'},bjorn.hansen@yahoo.no,4,Park,263
4,Bjørn,Hansen,,"{postalCode: '0171',street: 'Ullevålsveien 14',city: 'Oslo',country: 'Norway'}",{'phone': '+47 22 44 22 22'},bjorn.hansen@yahoo.no,4,Park,392
5,František,Wichterlová,JetBrains s.r.o.,"{postalCode: '14700',street: 'Klanova 9/506',city: 'Prague',country: 'Czech Republic'}","{'phone': '+420 2 4172 5555','fax' : '+420 2 4172 5555'}",frantisekw@jetbrains.com,4,Park,77
5,František,Wichterlová,JetBrains s.r.o.,"{postalCode: '14700',street: 'Klanova 9/506',city: 'Prague',country: 'Czech Republic'}","{'phone': '+420 2 4172 5555','fax' : '+420 2 4172 5555'}",frantisekw@jetbrains.com,4,Park,100
5,František,Wichterlová,JetBrains s.r.o.,"{postalCode: '14700',street: 'Klanova 9/506',city: 'Prague',country: 'Czech Republic'}","{'phone': '+420 2 4172 5555','fax' : '+420 2 4172 5555'}",frantisekw@jetbrains.com,4,Park,122
5,František,Wichterlová,JetBrains s.r.o.,"{postalCode: '14700',street: 'Klanova 9/506',city: 'Prague',country: 'Czech Republic'}","{'phone': '+420 2 4172 5555','fax' : '+420 2 4172 5555'}",frantisekw@jetbrains.com,4,Park,174
5,František,Wichterlová,JetBrains s.r.o.,"{postalCode: '14700',street: 'Klanova 9/506',city: 'Prague',country: 'Czech Republic'}","{'phone': '+420 2 4172 5555','fax' : '+420 2 4172 5555'}",frantisekw@jetbrains.com,4,Park,295
5,František,Wichterlová,JetBrains s.r.o.,"{postalCode: '14700',street: 'Klanova 9/506',city: 'Prague',country: 'Czech Republic'}","{'phone': '+420 2 4172 5555','fax' : '+420 2 4172 5555'}",frantisekw@jetbrains.com,4,Park,306
5,František,Wichterlová,JetBrains s.r.o.,"{postalCode: '14700',street: 'Klanova 9/506',city: 'Prague',country: 'Czech Republic'}","{'phone': '+420 2 4172 5555','fax' : '+420 2 4172 5555'}",frantisekw@jetbrains.com,4,Park,361
6,Helena,Holý,,"{postalCode: '14300',street: 'Rilská 3174/6',city: 'Prague',country: 'Czech Republic'}",{'phone': '+420 2 4177 0449'},hholy@gmail.com,5,Johnson,46
6,Helena,Holý,,"{postalCode: '14300',street: 'Rilská 3174/6',city: 'Prague',country: 'Czech Republic'}",{'phone': '+420 2 4177 0449'},hholy@gmail.com,5,Johnson,175
6,Helena,Holý,,"{postalCode: '14300',street: 'Rilská 3174/6',city: 'Prague',country: 'Czech Republic'}",{'phone': '+420 2 4177 0449'},hholy@gmail.com,5,Johnson,198
